country,danceability,energy,valence,tempo
AU,0.532,0.767,0.755,0.421
AU,0.695,0.633,0.557,0.257
AU,0.659,0.789,0.468,0.488
AU,0.657,0.82,0.709,0.403
AU,0.621,0.779,0.399,0.659
AU,0.582,0.909,0.868,0.376
AU,0.411,0.619,0.337,0.691
AU,0.59,0.727,0.356,0.392
AU,0.61,0.65,0.507,0.31
AU,0.569,0.882,0.201,0.531
AU,0.505,0.27,0.557,0.268
AU,0.644,0.735,0.418,0.216
AU,0.264,0.64,0.19,0.193
AU,0.492,0.519,0.435,0.172
AU,0.684,0.607,0.498,0.173
AU,0.545,0.545,0.549,0.595
AU,0.558,0.559,0.62,0.16
AU,0.7,0.425,0.521,0.328
AU,0.617,0.635,0.446,0.291
AU,0.731,0.861,0.759,0.424
AU,0.578,0.866,0.619,0.424
AU,0.712,0.603,0.67,0.264
AU,0.481,0.638,0.497,0.163
AU,0.64,0.663,0.663,0.45
AU,0.446,0.764,0.543,0.66
AU,0.681,0.714,0.554,0.435
AU,0.635,0.574,0.592,0.563
AU,0.533,0.907,0.7,0.547
AU,0.717,0.455,0.389,0.423
AU,0.74,0.697,0.732,0.483
AU,0.551,0.402,0.382,0.292
AU,0.673,0.886,0.795,0.258
AU,0.508,0.411,0.34,0.44
CA,0.644,0.874,0.753,0.424
CA,0.722,0.706,0.599,0.173
CA,0.747,0.507,0.438,0.301
CA,0.7,0.582,0.785,0.364
CA,0.701,0.76,0.69,0.296
CA,0.521,0.592,0.535,0.584
CA,0.472,0.471,0.219,0.301
CA,0.669,0.586,0.579,0.312
CA,0.464,0.745,0.262,0.702
CA,0.611,0.911,0.495,0.381
CA,0.741,0.62,0.934,0.365
CA,0.898,0.472,0.214,0.28
CA,0.756,0.672,0.739,0.354
CA,0.429,0.453,0.155,0.155
CA,0.664,0.5,0.801,0.37
CA,0.776,0.667,0.618,0.435
CA,0.525,0.488,0.253,0.194
CA,0.561,0.604,0.242,0.595
CA,0.852,0.697,0.919,0.478
CA,0.582,0.909,0.868,0.376
CA,0.476,0.797,0.601,0.173
CA,0.742,0.757,0.957,0.488
CA,0.492,0.673,0.488,0.829
CA,0.486,0.702,0.382,0.173
CA,0.487,0.658,0.282,0.5
CA,0.635,0.601,0.332,0.403
CA,0.369,0.192,0.148,0.676
CA,0.527,0.551,0.443,0.531
CA,0.621,0.779,0.399,0.659
CA,0.455,0.968,0.686,0.234
CA,0.936,0.878,0.902,0.419
CA,0.634,0.761,0.785,0.435
CA,0.432,0.583,0.544,0.71
CA,0.61,0.926,0.861,0.663
CA,0.607,0.76,0.414,0.242
CA,0.492,0.519,0.435,0.172
CA,0.782,0.719,0.304,0.488
CA,0.68,0.246,0.388,0.329
CA,0.478,0.906,0.552,0.648
CA,0.804,0.957,0.962,0.414
CA,0.66,0.756,0.838,0.36
CA,0.629,0.937,0.649,0.403
CA,0.551,0.801,0.625,0.424
CA,0.555,0.216,0.504,0.163
CA,0.505,0.754,0.51,0.377
CA,0.552,0.702,0.564,0.648
CA,0.61,0.65,0.507,0.31
CA,0.681,0.714,0.554,0.435
CA,0.657,0.82,0.709,0.403
CA,0.504,0.386,0.281,0.766
CA,0.287,0.782,0.471,0.564
CA,0.482,0.757,0.12,0.502
CA,0.689,0.454,0.912,0.595
CA,0.646,0.668,0.64,0.226
CA,0.505,0.27,0.557,0.268
CA,0.659,0.789,0.468,0.488
CA,0.645,0.634,0.352,0.595
CA,0.893,0.4,0.945,0.408
CA,0.491,0.583,0.908,0.545
CA,0.621,0.792,0.69,0.365
