country,danceability,energy,valence,tempo
DE,0.472,0.471,0.219,0.3
DE,0.794,0.5,0.659,0.2
DE,0.87,0.536,0.736,0.3
DE,0.68,0.74,0.589,0.5
DE,0.614,0.732,0.133,0.2
DE,0.645,0.634,0.352,0.5
DE,0.61,0.926,0.861,0.6
DE,0.681,0.714,0.554,0.4
DE,0.673,0.95,0.563,0.5
DE,0.704,0.787,0.31,0.3
DE,0.573,0.476,0.209,0.2
DE,0.924,0.637,0.599,0.3
DE,0.77,0.526,0.59,0.5
DE,0.703,0.795,0.513,0.5
DE,0.521,0.592,0.535,0.5
DE,0.708,0.714,0.781,0.3
DE,0.505,0.754,0.51,0.3
DE,0.883,0.938,0.863,0.5
DE,0.638,0.717,0.422,0.4
DE,0.853,0.516,0.454,0.2
DE,0.777,0.624,0.815,0.2
DE,0.359,0.254,0.111,0.1
DE,0.448,0.369,0.0998,0.6
DE,0.442,0.538,0.139,0.3
DE,0.482,0.757,0.12,0.5
DE,0.727,0.544,0.197,0.3
DE,0.611,0.757,0.279,0.4
DE,0.62,0.543,0.281,0.1
DE,0.669,0.586,0.579,0.3
DE,0.573,0.902,0.876,0.1
DE,0.545,0.675,0.162,0.4
DE,0.874,0.869,0.726,0.4
DE,0.771,0.741,0.19,0.3
DE,0.68,0.721,0.244,0.4
DE,0.555,0.216,0.504,0.1
DE,0.762,0.632,0.282,0.3
DE,0.259,0.275,0.0474,0.1
DE,0.689,0.454,0.912,0.5
GB,0.777,0.934,0.637,0.2
GB,0.7,0.582,0.785,0.3
GB,0.669,0.586,0.579,0.3
GB,0.776,0.667,0.618,0.4
GB,0.644,0.874,0.753,0.4
GB,0.472,0.471,0.219,0.3
GB,0.793,0.779,0.687,0.4
GB,0.756,0.672,0.739,0.3
GB,0.742,0.757,0.957,0.4
GB,0.804,0.957,0.962,0.4
GB,0.645,0.634,0.352,0.5
GB,0.464,0.745,0.262,0.7
GB,0.432,0.583,0.544,0.7
GB,0.857,0.62,0.796,0.3
GB,0.504,0.386,0.281,0.7
GB,0.898,0.472,0.214,0.2
