country,danceability,energy,valence,tempo
BR,0.872,0.696,0.62,0.4
BR,0.891,0.436,0.962,0.4
BR,0.596,0.806,0.369,0.5
BR,0.657,0.839,0.793,0.3
BR,0.875,0.782,0.836,0.4
BR,0.447,0.428,0.53,0.6
BR,0.675,0.893,0.607,0.3
BR,0.665,0.717,0.638,0.4
BR,0.69,0.771,0.454,0.3
BR,0.567,0.835,0.639,0.6
BR,0.492,0.427,0.443,0.1
BR,0.755,0.844,0.769,0.5
BR,0.66,0.756,0.838,0.3
BR,0.762,0.41,0.531,0.3
BR,0.49,0.887,0.511,0.5
BR,0.614,0.842,0.708,0.1
BR,0.521,0.592,0.535,0.5
BR,0.579,0.689,0.603,0.2
BR,0.572,0.575,0.685,0.2
BR,0.747,0.507,0.438,0.3
BR,0.792,0.847,0.647,0.4
BR,0.791,0.527,0.601,0.4
BR,0.767,0.743,0.764,0.3
BR,0.614,0.774,0.58,0.3
BR,0.624,0.734,0.499,0.4
BR,0.662,0.669,0.636,0.3
BR,0.625,0.728,0.54,0.5
BR,0.909,0.546,0.927,0.4
BR,0.741,0.754,0.717,0.4
BR,0.406,0.578,0.23,0.4
BR,0.66,0.388,0.311,0.2
BR,0.85,0.291,0.725,0.2
BR,0.53,0.855,0.38,0.5
BR,0.522,0.799,0.218,0.1
BR,0.631,0.614,0.612,0.1
BR,0.711,0.59,0.702,0.2
BR,0.856,0.661,0.672,0.4
BR,0.576,0.685,0.227,0.4
BR,0.795,0.547,0.861,0.4
BR,0.709,0.915,0.926,0.6
BR,0.887,0.574,0.847,0.4
BR,0.817,0.283,0.485,0.2
BR,0.924,0.42,0.744,0.4
BR,0.66,0.864,0.963,0.5
BR,0.767,0.54,0.544,0.4
BR,0.646,0.627,0.657,0.3
BR,0.605,0.386,0.55,0.5
BR,0.492,0.821,0.647,0.5
BR,0.422,0.609,0.31,0.3
BR,0.612,0.807,0.398,0.4
AU,0.722,0.706,0.599,0.1
AU,0.669,0.586,0.579,0.3
